City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Praia,CV,14.9215,-23.5087,73.4,49,0,19.57,clear sky
334,Abha,SA,18.2164,42.5053,62.6,59,0,3.58,clear sky
335,Hammerfest,NO,70.6634,23.6821,30.2,86,75,9.22,snow
336,Chimoio,MZ,-19.1164,33.4833,62.6,100,20,2.3,few clouds
337,La Spezia,IT,44.1105,9.8434,43.0,40,0,5.64,clear sky
338,Aksarka,RU,66.5606,67.7975,27.52,89,100,6.53,overcast clouds
339,Northam,GB,51.0333,-4.2167,43.0,80,34,4.0,scattered clouds
340,Eureka,US,40.8021,-124.1637,53.01,67,78,7.0,broken clouds
341,Basco,PH,20.4487,121.9702,73.85,73,100,14.18,overcast clouds
342,Pathein,MM,16.7833,94.7333,76.62,81,33,4.47,scattered clouds
343,Santa Barbara,US,34.7333,-120.0343,70.0,48,1,8.05,clear sky
344,Kindu,CD,-2.95,25.95,70.09,99,100,2.01,light rain
